id,pred_class
1008,2
493,2
1430,2
876,2
91,3
1713,1
1424,2
998,2
2281,2
1461,6
1338,6
903,2
1535,2
2118,1
1770,3
785,3
1488,6
2057,6
1928,2
1801,3
1292,1
2171,2
1724,6
2152,2
115,4
409,2
2098,3
764,2
770,0
1763,2
1177,2
1462,6
1491,3
1384,4
784,2
2301,2
774,2
239,2
466,1
391,0
1715,1
346,2
2262,3
709,0
870,2
1115,2
1831,2
1188,4
2137,2
2078,2
1673,3
648,2
2066,5
1845,3
1178,2
228,2
1003,4
1109,2
2449,2
2323,2
117,2
1754,2
335,2
224,2
32,2
1282,1
2191,2
38,0
15,0
110,2
1563,3
352,2
1819,2
1339,6
1417,6
1780,0
1070,2
568,2
1839,1
276,2
480,2
1884,1
720,2
33,2
1419,6
330,2
624,3
1382,2
2043,3
578,3
835,2
532,6
570,2
978,1
2122,1
879,4
2112,2
164,0
2075,2
766,2
2189,2
1405,0
95,2
2261,2
2250,2
1181,3
939,2
1832,2
540,0
714,1
739,1
944,3
244,2
721,2
2428,2
510,0
928,0
75,0
1044,2
2385,3
1834,2
2345,2
1155,2
1077,6
60,2
2413,2
1248,2
326,2
130,2
560,3
1704,2
1073,2
2012,2
1536,1
586,2
1062,6
2450,2
2409,2
278,2
96,2
565,1
923,3
637,2
2294,2
971,3
1612,2
524,2
1761,5
1759,2
1145,4
776,2
1925,2
