id,pred_class
824,3
819,2
1008,5
493,5
1430,3
1522,2
544,4
876,4
91,6
1713,1
1424,2
511,2
998,6
2281,6
1461,6
1338,6
4,2
1305,4
1535,4
1768,4
2118,1
1770,6
785,3
1488,5
2057,6
2035,2
1928,6
1801,3
1292,1
2171,6
371,4
1724,6
2152,4
409,6
2098,3
764,5
770,0
2128,2
1763,5
1177,4
1462,6
265,2
1561,2
1491,3
2307,2
784,3
2301,5
774,1
239,0
466,1
391,0
1715,1
1344,2
346,5
2262,3
1042,3
709,0
870,3
1115,3
1831,6
2137,3
2078,3
863,2
1856,2
1673,3
648,3
1894,2
2322,2
485,2
2066,5
1351,2
1845,3
1712,2
1402,2
1178,0
273,2
228,0
1109,3
2449,5
2323,1
117,1
1754,1
335,5
224,1
32,0
686,2
1282,1
2127,2
2191,3
779,2
38,0
15,0
1341,2
110,1
1645,4
1,4
1563,3
352,6
546,2
1819,3
1163,2
1339,6
1417,6
549,2
1780,0
1070,6
568,3
1839,1
276,3
480,0
1884,1
33,0
2443,2
2421,2
1419,6
2484,2
330,1
624,3
1382,0
2043,3
578,3
835,4
532,6
1725,1
570,3
978,1
2122,1
2112,4
164,0
2075,3
766,1
2189,3
1405,0
649,2
95,6
2261,3
2250,3
1181,3
939,3
459,2
1832,0
540,0
118,2
1027,2
714,1
183,2
739,1
944,3
244,6
2220,4
2175,4
721,1
2428,4
2408,3
2160,2
510,0
928,0
75,0
996,2
1044,6
324,2
523,2
2385,3
81,2
2345,0
1155,5
1077,6
1555,2
280,2
60,3
1248,4
326,0
130,3
560,3
1704,1
1536,1
1308,2
669,4
586,1
1062,3
185,3
666,4
2409,3
278,4
96,0
2297,2
565,1
923,3
1089,2
971,3
1612,4
825,6
524,1
1761,5
1759,6
2371,4
1423,2
1657,2
1537,2
1566,3
1615,2
776,1
711,4
1925,5
