id,pred_class
1830,3
586,3
1138,5
1531,3
1206,3
1649,3
571,5
1034,2
1755,1
1806,2
498,3
1413,3
1935,3
188,1
1028,3
1402,3
1910,3
1380,3
2068,3
584,2
648,3
1585,3
705,4
2034,3
1433,3
1109,3
1818,3
1840,3
381,3
1036,3
1932,4
1389,2
665,4
1294,3
1884,3
296,3
2079,3
1255,3
912,2
1054,5
1276,3
155,3
1183,2
717,5
262,3
479,3
1320,3
1419,0
256,4
1980,3
1954,4
1605,3
2085,3
1835,3
1025,2
307,5
1866,3
549,3
1004,5
1647,3
250,2
108,3
788,5
2071,3
228,4
1137,5
906,3
687,4
1368,3
22,1
1406,3
909,3
176,5
449,5
223,5
1504,3
609,3
465,3
433,3
1220,3
1159,3
2058,3
661,4
1168,2
1682,3
255,1
658,3
1115,1
669,4
386,3
1885,3
322,3
1902,5
1581,3
1855,3
168,3
1846,3
310,3
774,3
134,1
1764,3
274,3
1777,5
1466,4
1639,4
1909,3
1259,3
59,3
751,3
404,3
2018,4
1626,3
1432,3
1804,5
1080,1
1149,3
828,5
1370,1
884,3
746,3
151,2
13,3
1574,1
1394,2
993,3
1758,3
792,3
1815,3
2044,3
