seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8488745980707395,0.83136407147524,0.835445844567087,0.831469656625362,0.8529927121234055,0.8488745980707395,0.8493775248154611
8,0.8665594855305466,0.8539245814156196,0.8504342755833373,0.8506435627997034,0.8687701653711739,0.8665594855305466,0.866530032314965
7,0.8536977491961415,0.8368352428281288,0.8395513990322446,0.836007869466191,0.8568891566897365,0.8536977491961415,0.8538877843879332
6,0.8536977491961415,0.8419726507173853,0.8381640355067487,0.8381682072883099,0.856119669712071,0.8536977491961415,0.8535514972342337
5,0.860128617363344,0.8539057938448182,0.8462302145928554,0.8477200552044006,0.8638751817223114,0.860128617363344,0.8603276337629854
4,0.8536977491961415,0.8435861057709797,0.8415955146147589,0.8398908444946331,0.8598249217314851,0.8536977491961415,0.8545206914172356
3,0.837620578778135,0.8223340980893664,0.8220972286195961,0.8203469870045144,0.8395207565173193,0.837620578778135,0.8372983415965477
2,0.8488745980707395,0.8348897461073649,0.8286817401094012,0.8301091899661223,0.8528585055699658,0.8488745980707395,0.849499349394824
1,0.860128617363344,0.8461024907461642,0.8438292593991219,0.8433554706019499,0.8618237720095642,0.860128617363344,0.8598862011214202
0,0.8488745980707395,0.8393839935439248,0.8335334909254829,0.8335146155108385,0.8543027035127184,0.8488745980707395,0.8493925618851832
