seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8393574297188755,0.8182577833287136,0.8371969709433804,0.8265257252845418,0.8408644953735223,0.8393574297188755,0.838769812744901
8,0.8420348058902276,0.8160352138136867,0.8363467361432476,0.8251456426252909,0.8446815000597001,0.8420348058902276,0.8422979235199746
7,0.8340026773761714,0.8045267155504935,0.8314794643042677,0.8162073572375851,0.8405955636360596,0.8340026773761714,0.8354380944657394
6,0.8340026773761714,0.8077871558704791,0.8349983829889177,0.8196137474770698,0.8394342633788566,0.8340026773761714,0.834682612557288
5,0.8313253012048193,0.8064924371494326,0.8220254135690912,0.8135011617967258,0.833441112721194,0.8313253012048193,0.831591627906349
4,0.8380187416331994,0.8110528038017539,0.831596189345239,0.8200373922033678,0.8417879923070096,0.8380187416331994,0.8383509170687063
3,0.8433734939759037,0.8244289316476611,0.8439910078404559,0.8330131309302428,0.8459101114562555,0.8433734939759037,0.8433483689395765
2,0.8406961178045516,0.821370228167076,0.8330721219828199,0.8255074732772139,0.8440909299991101,0.8406961178045516,0.8408756742099261
1,0.8366800535475234,0.8190279826487992,0.8299128586465907,0.8234107081300328,0.8381489780275198,0.8366800535475234,0.836456833684973
0,0.8447121820615796,0.8271331075190954,0.8421025861647017,0.8334080367593285,0.8475436899504915,0.8447121820615796,0.8448015805616953
