seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8497706422018348,0.8360292785516483,0.8435820170776446,0.8381558535286738,0.8520673069324489,0.8497706422018348,0.8493171573853041
8,0.8463302752293578,0.8320605854754218,0.8379184699480463,0.8330572894498607,0.8487918898360436,0.8463302752293578,0.845716611414581
7,0.838302752293578,0.817063522037641,0.8318770683870186,0.8225813880054867,0.8406339857811088,0.838302752293578,0.8377920267203539
6,0.8371559633027523,0.8157378671621831,0.8281694048195629,0.818799015407574,0.8413891798070425,0.8371559633027523,0.836868953009903
5,0.8463302752293578,0.8265329444070796,0.8376213901927115,0.829695093970372,0.8492251337125728,0.8463302752293578,0.845753765951768
4,0.8509174311926605,0.8352827491328458,0.8435849656836669,0.8370683211048903,0.8543947919392392,0.8509174311926605,0.8504512845316301
3,0.8348623853211009,0.8212547161251182,0.8266556467647563,0.8219647675646335,0.8371273292400557,0.8348623853211009,0.834316003469142
2,0.8428899082568807,0.8277197926144668,0.8317986707146378,0.8279079654597862,0.8449325368653164,0.8428899082568807,0.8421468317305852
1,0.8325688073394495,0.8133578746393405,0.8204396929790446,0.81445138778268,0.8358866126595232,0.8325688073394495,0.8320522632293138
0,0.8428899082568807,0.828954446458359,0.8378187784658667,0.8310947533824399,0.847139153242463,0.8428899082568807,0.8426310156787632
