seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8107142857142857,0.8042395961606975,0.7794596465026828,0.7881892471075888,0.8211943312470081,0.8107142857142857,0.8129834207264256
8,0.8258928571428571,0.8133083877757484,0.8031269022649458,0.8060600993977555,0.8327676942297086,0.8258928571428571,0.8275707206275857
7,0.8151785714285714,0.800011807969243,0.7822000133016964,0.7882922048027511,0.8219492067317015,0.8151785714285714,0.8164801752674689
6,0.8160714285714286,0.8110283625354446,0.7912151234313194,0.7967447368748173,0.8298400547228161,0.8160714285714286,0.8190201885674548
5,0.8205357142857143,0.79596149425965,0.7958005479809825,0.7931309645814328,0.8293556439835251,0.8205357142857143,0.8227736924274262
4,0.8205357142857143,0.8109862622656792,0.7982491567156503,0.8023922568115974,0.828827334733375,0.8205357142857143,0.8227354456866198
3,0.81875,0.7950539914507709,0.7926627871151913,0.7908336936247442,0.8276510696940095,0.81875,0.8207574207641323
2,0.8196428571428571,0.8040253028206189,0.798937329306119,0.7985960176111364,0.8297069684524587,0.8196428571428571,0.8219109325637439
1,0.8169642857142857,0.7925675644458245,0.7934513309009157,0.7908448987077722,0.8253354279045904,0.8169642857142857,0.8191549628462689
0,0.8160714285714286,0.7921865056341092,0.7893941627261388,0.788819213291629,0.8244567212237284,0.8160714285714286,0.8183469222551701
