seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
0,0.876,0.8613755681492042,0.8729229348192865,0.8663325247627572,0.8776714453029244,0.876,0.8761784739284738
9,0.888,0.8750446191235666,0.8907247924044258,0.8817592487743949,0.8902782828282828,0.888,0.8883535304767785
8,0.868,0.8576023391812866,0.8670488746689105,0.8617821267136085,0.8694747474747475,0.868,0.8681617133955845
7,0.872,0.8560702989030465,0.8699265912785139,0.8623497152949416,0.8740041844591929,0.872,0.8724626876876875
6,0.88,0.8669297762501016,0.8804417318117677,0.8728512918927299,0.8821918754104512,0.88,0.880391977754881
5,0.872,0.8611122080411111,0.8764502533749315,0.8681411411066431,0.8737109870263895,0.872,0.8723279710573828
4,0.884,0.8787269767195864,0.8888450931563054,0.8829647880213456,0.8867491504910859,0.884,0.8843633121824902
3,0.872,0.8658255061521848,0.8715131603831962,0.8682745099121156,0.8730937991414849,0.872,0.8720393174072949
2,0.872,0.8608048714160769,0.8715131603831962,0.8657604126718723,0.873188660801564,0.872,0.8721630392233841
1,0.872,0.8574051204038471,0.8661999782342755,0.8613636013798998,0.8730648873908637,0.872,0.8722604926108375
0,0.88,0.866201589583156,0.8778571453456022,0.871316313176543,0.8817403333988771,0.88,0.8803255430468355
