seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8453333333333334,0.8324597352691201,0.8442175024055848,0.8359793345678544,0.8532284235310037,0.8453333333333334,0.8462471766533175
8,0.8533333333333334,0.8446357249222803,0.8531494988621882,0.8467396004807829,0.8608088935330316,0.8533333333333334,0.8544655085989568
7,0.856,0.8424166369746572,0.854766591667787,0.8471673053976085,0.8615092415057014,0.856,0.8570499633843784
6,0.856,0.8520321012503492,0.8584678325587876,0.8530226027259333,0.8631658139052443,0.856,0.8572513584839373
5,0.8506666666666667,0.8383557253964665,0.8454919515791934,0.840519594608425,0.8557228412585819,0.8506666666666667,0.8516591211284646
4,0.8506666666666667,0.8426503737961236,0.8494866832486537,0.8442737805854558,0.8563800152443354,0.8506666666666667,0.8514400518053532
3,0.872,0.8692247327974657,0.8719386130557076,0.8676512628975034,0.879940858717487,0.872,0.8730876694106808
2,0.8586666666666667,0.8474379825564323,0.8606066904410168,0.8525234111283548,0.8638364495961852,0.8586666666666667,0.8594668531485434
1,0.8506666666666667,0.8394639694442425,0.8518531890404564,0.8440250187914301,0.855878742391604,0.8506666666666667,0.8511126606639453
0,0.856,0.8428700634820506,0.8570181194811675,0.8481004006148666,0.8625432304069024,0.856,0.8571094822273921
