seed,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score
9,0.8162650602409639,0.7969734156697353,0.7971758370393741,0.7954781547241631,0.8201753551860324,0.8162650602409639,0.8167303977613073
8,0.8162650602409639,0.7904984390326352,0.796430691878282,0.792396700733552,0.8190745010248007,0.8162650602409639,0.8165571262286905
7,0.8022088353413654,0.7818657764742627,0.7947537804528358,0.7863150779559448,0.8091123574063593,0.8022088353413654,0.8033206640160774
6,0.822289156626506,0.8047450254022638,0.8033727544175836,0.8027291695080649,0.8246596264663495,0.822289156626506,0.8223147700077253
5,0.8152610441767069,0.7939585570551863,0.7964902149108618,0.7943324335554524,0.8166104251629106,0.8152610441767069,0.8151278202126278
4,0.8192771084337349,0.801333854115809,0.800442220041061,0.7986687433803085,0.824752110515427,0.8192771084337349,0.8200239353617497
3,0.8283132530120482,0.8092266336911849,0.8177309278116364,0.8119273226345197,0.8332182591642975,0.8283132530120482,0.8290972090585346
2,0.8142570281124498,0.7949977131346843,0.8033761760099255,0.7980271541097886,0.8171135345185584,0.8142570281124498,0.8143266338401393
1,0.8232931726907631,0.800810087664232,0.8072946104275399,0.8033859122293874,0.8252460800879978,0.8232931726907631,0.823469938547957
0,0.8182730923694779,0.7948976359587236,0.8008475930093144,0.796733390283917,0.821672394958368,0.8182730923694779,0.8186196255075938
