id,pred_class
824,6
819,6
1008,6
493,6
1430,3
1522,6
544,6
876,6
1713,6
511,6
4,6
903,4
1305,6
1535,6
1768,6
2118,6
785,6
1488,6
2035,6
1928,6
1801,6
1292,1
371,6
115,6
2098,3
764,6
770,0
2128,6
1763,6
1177,6
265,6
1561,6
1491,3
1384,4
2307,6
784,6
2301,6
774,6
239,6
466,6
391,6
1715,1
1344,6
346,6
2262,3
1042,6
709,6
870,6
1115,6
1831,6
1188,4
2078,6
863,6
1856,6
1673,6
648,6
1894,6
2322,2
485,6
2066,5
1351,6
1845,6
1712,6
1402,6
1178,6
273,6
228,6
1003,6
1109,6
2449,6
2323,6
117,6
1754,6
335,6
224,6
32,6
686,6
1282,6
2127,6
2191,6
779,6
38,6
15,0
1341,6
110,6
1645,6
1,6
1563,6
546,6
1819,6
1163,2
549,6
1780,6
568,6
1839,1
276,6
480,6
1884,1
720,6
33,6
2443,6
2421,2
2484,6
330,6
624,6
1382,6
2043,6
578,6
1725,6
570,6
978,1
2122,6
879,4
2112,6
164,6
2075,6
766,6
2189,6
1405,0
649,6
2261,6
2250,6
1181,6
939,6
459,6
1832,6
540,0
118,6
1027,6
714,6
183,6
739,6
944,3
2220,6
2175,6
721,6
2428,6
2408,6
2160,6
510,6
928,6
75,6
996,6
324,6
523,6
2385,3
81,6
1834,6
2345,6
1155,6
1555,6
280,6
60,6
2413,6
1248,6
326,6
130,6
560,6
1704,1
1073,6
2012,6
1536,1
1308,6
669,6
586,6
2450,6
185,6
666,6
2409,6
278,6
96,6
2297,6
565,6
923,6
1089,6
637,6
2294,6
971,6
1612,6
825,6
524,6
1761,6
2371,6
1423,2
1657,6
1537,6
1566,2
1615,6
1145,4
776,6
711,6
1925,6
