id,pred_class
1438,2
1830,4
853,4
1138,5
1531,4
1206,4
1649,4
379,4
571,4
1034,4
1755,1
1806,4
1413,4
1935,4
188,4
1028,4
1402,4
1910,4
431,3
584,4
648,4
1585,3
1978,4
2034,4
1433,4
1109,2
1019,4
1818,4
1840,4
381,4
1036,4
1389,2
1294,4
1884,4
2079,4
319,4
1255,4
912,4
599,3
1054,5
1276,4
1183,2
768,4
717,5
114,4
479,4
1853,3
1478,3
1320,4
1419,0
1980,4
493,4
1605,4
2085,4
1835,4
1025,4
307,5
1866,4
973,4
549,2
1004,4
1647,4
250,4
565,3
108,4
788,5
2071,4
795,3
394,4
1137,5
836,4
906,4
1368,4
22,1
1406,4
909,4
176,1
449,5
223,4
1504,4
609,4
465,4
433,4
1440,3
1444,4
1168,2
1682,0
255,1
2020,3
658,4
1115,1
1291,4
386,4
322,4
1902,5
1855,4
168,4
1846,4
774,4
134,1
90,3
1764,4
769,4
1777,4
1909,4
1259,4
227,4
59,4
751,4
562,3
603,4
404,4
1626,4
1804,5
1080,1
1222,4
828,4
1349,4
1370,4
884,4
746,4
151,2
13,4
1574,1
1394,2
993,4
1758,4
1815,4
2044,4
2035,4
