id,pred_class
824,3
819,2
1430,3
1522,2
544,5
876,5
91,5
1713,1
1424,3
511,2
998,3
2281,6
1461,6
1338,6
4,2
903,4
1305,5
1535,5
1768,5
2118,1
1770,6
785,3
2057,6
2035,3
1801,3
1292,1
2171,5
371,5
1724,6
2152,3
115,4
409,6
2098,3
770,0
2128,5
1177,5
1462,6
265,2
1561,5
1491,3
1384,4
2307,2
784,3
774,1
239,0
466,1
391,0
1715,1
1344,5
2262,3
1042,5
709,0
870,3
1115,3
1188,4
2137,5
2078,3
863,2
1856,5
1673,3
648,3
1894,2
2322,2
485,2
1351,2
1845,3
1712,3
1402,2
1178,5
273,2
228,5
1003,4
1109,3
2323,1
117,1
1754,1
224,1
32,5
686,2
1282,1
2127,5
2191,3
779,2
38,0
15,0
1341,2
110,1
1645,5
1,5
1563,3
352,6
546,5
1819,3
1163,2
1339,6
1417,6
549,2
1780,0
1070,6
568,3
1839,1
276,3
480,0
1884,1
720,4
33,0
2443,2
2421,2
1419,5
2484,5
330,1
624,3
1382,0
2043,3
578,3
835,5
532,6
1725,2
570,3
978,1
2122,1
879,4
2112,5
164,5
2075,5
766,1
2189,3
1405,4
649,2
95,6
2261,3
2250,3
1181,3
939,3
459,2
1832,5
540,0
118,5
1027,5
714,1
183,5
739,1
944,3
244,6
2220,5
2175,5
721,1
2428,5
2408,3
2160,5
510,0
928,0
75,0
996,3
1044,6
324,5
523,2
2385,3
81,2
1834,4
2345,0
1077,6
1555,5
280,3
60,3
2413,4
1248,3
326,5
130,3
560,3
1704,1
1073,4
2012,4
1536,1
1308,4
669,5
586,1
1062,6
2450,4
185,5
666,5
2409,3
278,5
96,0
2297,5
565,1
923,3
1089,3
637,4
2294,4
971,3
1612,5
825,3
524,1
1759,5
2371,5
1423,2
1657,2
1537,5
1566,2
1615,2
1145,4
776,1
711,5
