id,pred_class
1830,0
853,3
586,0
1138,5
1531,2
1206,2
1649,2
379,0
571,5
1034,2
1755,1
1806,2
498,4
1413,2
1935,1
188,1
1028,2
1402,2
1910,1
1380,0
2068,4
431,3
584,2
648,2
1585,3
705,4
1978,3
1433,0
1109,1
1019,3
1818,1
1840,2
381,5
1036,1
1932,4
1389,2
665,3
1294,0
1884,0
296,4
2079,5
319,3
1255,5
912,2
599,3
1054,5
1276,1
155,4
1183,2
768,3
717,5
114,3
262,0
479,2
1853,3
1478,3
1320,2
256,4
1980,1
493,3
1954,4
1605,0
2085,0
1835,2
1025,2
307,5
1866,0
973,0
549,2
1004,5
1647,2
250,1
565,3
108,5
788,5
2071,1
228,4
795,3
394,0
1137,5
836,3
906,0
687,0
1368,1
22,5
1406,0
909,1
176,5
449,5
223,5
1504,1
609,2
465,5
433,0
1440,3
1444,3
1220,4
1159,0
2058,4
661,4
1168,2
255,1
2020,3
658,0
1115,1
669,4
1291,3
386,2
1885,0
322,0
1902,0
1581,4
168,5
1846,0
310,4
774,2
134,1
90,0
1764,2
769,1
274,4
