id,pred_class
1438,2
1830,1
853,1
586,1
1138,5
1531,2
1206,1
1649,1
379,1
571,1
1034,2
1806,1
498,1
1413,1
1028,1
1402,1
1380,1
2068,1
431,3
584,2
648,1
1585,1
705,4
1978,1
2034,1
1433,1
1109,3
1019,1
1840,2
381,1
1932,4
1389,2
665,4
1294,1
296,1
2079,1
319,1
1255,1
912,2
599,3
1054,5
155,1
1183,2
768,1
717,5
114,1
262,4
479,1
1853,1
1478,3
1320,1
1419,0
256,4
493,1
1954,1
1605,1
2085,1
1835,1
1025,2
307,5
1866,1
973,1
549,2
1004,5
1647,1
250,1
565,3
108,1
788,5
228,4
795,3
394,1
1137,5
836,1
906,1
687,4
22,1
1406,1
176,5
449,5
223,5
609,2
465,1
433,1
1440,1
1444,1
1220,1
1159,1
2058,1
661,4
1168,2
1682,0
2020,3
669,4
1291,1
386,0
1885,1
1902,2
1581,1
1855,1
168,1
1846,1
310,1
774,1
90,4
1764,1
769,1
274,1
1777,5
1466,4
1639,1
1909,1
1259,2
227,1
59,1
562,1
603,1
404,1
2018,4
1626,1
1432,4
1804,5
1149,1
1222,1
828,1
1349,1
1370,1
884,1
746,1
151,1
13,1
1394,2
792,1
1815,1
2044,1
2035,1
