id,pred_class
824,0
819,2
1008,0
493,5
1430,0
1522,0
544,0
876,1
91,0
1713,1
1424,6
511,2
998,0
2281,6
1461,6
1338,6
4,0
903,4
1305,0
1535,0
1768,0
2118,1
1770,0
785,3
1488,5
2057,6
2035,0
1928,0
1801,3
1292,1
2171,0
371,0
1724,0
2152,3
115,0
409,6
2098,3
764,0
2128,0
1763,0
1462,0
265,0
1561,2
1491,3
1384,4
2307,2
784,0
2301,5
774,0
466,1
1715,1
1344,0
346,5
2262,3
1042,2
870,0
1831,0
1188,4
2137,0
2078,3
863,2
1856,0
1673,3
648,0
1894,2
2322,2
485,2
2066,5
1351,0
1845,3
1712,2
1402,0
273,2
1003,0
1109,3
2449,5
2323,1
117,0
1754,0
335,5
224,1
686,2
1282,1
2127,0
2191,0
779,2
1341,0
110,0
1645,0
1,0
1563,3
352,6
546,2
1819,3
1163,2
1339,6
1417,6
549,2
1070,6
568,0
1839,1
276,3
1884,1
720,0
2443,0
2421,2
1419,0
2484,0
330,1
624,3
2043,3
578,3
835,0
532,6
1725,0
570,0
978,1
2122,1
879,4
2112,0
2075,0
766,0
2189,3
649,0
95,0
2261,0
2250,0
1181,3
939,0
459,2
118,0
1027,0
714,1
183,0
739,1
944,3
244,0
2220,0
2175,0
721,0
2408,0
2160,0
996,2
1044,6
324,0
523,2
2385,3
81,2
1834,0
1155,0
1077,6
1555,0
280,0
60,0
2413,0
130,3
560,3
1704,1
1073,4
2012,4
1536,1
1308,0
669,0
586,0
1062,2
2450,4
185,0
666,0
2409,3
278,0
2297,0
565,1
923,3
1089,0
637,4
2294,0
971,3
825,0
524,0
1761,5
1759,0
2371,0
1423,2
1657,0
1537,0
1566,2
1615,2
1145,4
776,0
711,0
1925,0
824,0
819,2
1008,0
493,5
1430,0
1522,0
544,0
876,1
91,0
1713,1
1424,6
511,2
998,0
2281,6
1461,6
1338,6
4,0
903,4
1305,0
1535,0
1768,0
2118,1
1770,0
785,3
1488,5
2057,6
2035,0
1928,0
1801,3
1292,1
2171,0
371,0
1724,0
2152,3
115,0
409,6
2098,3
764,0
2128,0
1763,0
1462,0
265,0
1561,2
1491,3
1384,4
2307,2
784,0
2301,5
774,0
466,1
1715,1
1344,0
346,5
2262,3
1042,2
870,0
1831,0
1188,4
2137,0
2078,3
863,2
1856,0
1673,3
648,0
1894,2
2322,2
485,2
2066,5
1351,0
1845,3
1712,2
1402,0
273,2
1003,0
1109,3
2449,5
2323,1
117,0
1754,0
335,5
224,1
686,2
1282,1
2127,0
2191,0
779,2
1341,0
110,0
1645,0
1,0
1563,3
352,6
546,2
1819,3
1163,2
1339,6
1417,6
549,2
1070,6
568,0
1839,1
276,3
1884,1
720,0
2443,0
2421,2
1419,0
2484,0
330,1
624,3
2043,3
578,3
835,0
532,6
1725,0
570,0
978,1
2122,1
879,4
2112,0
2075,0
766,0
2189,3
649,0
95,0
2261,0
2250,0
1181,3
939,0
459,2
118,0
1027,0
714,1
183,0
739,1
944,3
244,0
2220,0
2175,0
721,0
2408,0
2160,0
996,2
1044,6
324,0
523,2
2385,3
81,2
1834,0
1155,0
1077,6
1555,0
280,0
60,0
2413,0
130,3
560,3
1704,1
1073,4
2012,4
1536,1
1308,0
669,0
586,0
1062,2
2450,4
185,0
666,0
2409,3
278,0
2297,0
565,1
923,3
1089,0
637,4
2294,0
971,3
825,0
524,0
1761,5
1759,0
2371,0
1423,2
1657,0
1537,0
1566,2
1615,2
1145,4
776,0
711,0
1925,0
