id,pred_class
1008,3
493,3
1522,3
544,3
876,3
91,3
1713,1
1424,2
511,3
998,3
2281,6
1461,3
1338,6
4,3
903,4
1305,3
1535,3
1768,3
2118,3
1770,3
1488,6
2057,6
2035,3
1928,3
1292,1
2171,3
371,3
1724,3
2152,3
115,3
409,3
764,3
770,0
2128,3
1763,3
1177,3
1462,3
265,3
1561,3
1384,4
2307,2
2301,3
774,3
239,3
466,1
391,0
1715,1
1344,3
346,3
1042,3
709,0
1115,3
1831,3
1188,4
2137,3
863,3
1856,3
1894,3
2322,2
485,3
2066,5
1351,3
1712,3
1402,3
1178,3
273,2
228,3
1003,3
2449,3
2323,1
117,3
1754,3
335,3
224,3
32,3
686,3
1282,1
2127,3
779,3
38,0
15,0
1341,3
110,3
1645,3
1,3
352,6
546,3
1163,2
1339,6
1417,3
549,3
1780,0
1070,3
1839,1
480,3
1884,1
720,3
33,3
2443,3
2421,2
1419,3
2484,3
330,3
1382,3
835,3
532,6
1725,3
978,1
2122,1
879,4
164,3
766,3
1405,0
649,3
95,3
459,3
1832,3
540,0
118,3
1027,3
714,1
183,3
739,1
244,3
2220,3
2175,3
721,3
2428,3
2408,3
2160,3
510,0
928,0
75,3
996,3
1044,6
324,3
523,3
81,2
1834,3
2345,3
1155,3
1077,3
1555,3
280,3
2413,3
1248,3
326,3
1704,1
1073,2
2012,3
1536,1
1308,3
669,3
586,3
1062,6
2450,3
185,3
666,3
278,3
96,0
2297,3
565,3
1089,3
637,2
2294,3
1612,3
825,3
524,3
1761,3
1759,3
2371,3
1423,2
1657,3
1537,3
1566,2
1615,3
1145,4
776,3
711,3
1925,3
