id,pred_class
586,2
1138,2
379,2
571,2
1755,1
498,2
1935,2
188,1
1910,2
1380,2
2068,2
431,2
705,2
1978,2
2034,2
1019,2
1818,2
381,2
1036,2
1932,2
665,4
1884,2
296,2
2079,2
319,2
1255,2
599,2
1054,2
1276,2
155,2
768,2
717,5
114,2
262,2
1853,2
1478,3
1419,0
256,4
1980,2
493,2
1954,2
307,5
973,2
1004,2
565,3
108,2
788,2
2071,2
228,2
795,3
394,2
1137,5
836,2
687,2
1368,2
22,1
909,2
176,5
449,5
223,5
1504,2
465,2
433,2
1440,2
1444,2
1220,2
1159,2
2058,2
661,2
1682,2
255,1
2020,2
658,2
1115,1
669,2
1291,2
1885,2
322,2
1581,2
1855,2
168,2
310,2
134,1
90,2
769,2
274,2
1777,2
1466,2
1639,2
1909,2
227,2
59,2
751,2
562,2
603,2
404,2
2018,2
1626,2
1432,2
1804,5
1080,1
1149,2
1222,2
828,2
1349,2
13,2
1574,1
993,2
1758,2
792,2
2044,2
2035,2
